,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
162,-0.99907915,0.04290524,0.97879063,0.20486315,-0.95887546,0.28382714,0.98233857,0.18711211,-0.97298288,0.23087729,-0.12451362,-0.9922179,0.12087831,-0.99266733,-0.9958095,-0.09145189,0.63119657,-0.7756229,-0.90352747,-0.42853017,0.6503412,-0.75964224,-0.07554111,-0.99714269
163,-0.99906776,0.04316959,0.98173402,0.19025853,-0.95740701,0.2887418,0.98360656,0.18032787,-0.96966129,0.24445243,-0.12451362,-0.9922179,0.11726648,-0.99310048,-0.9958095,-0.09145189,0.63119657,-0.7756229,-0.904469,-0.42653936,0.6503412,-0.75964224,-0.0701783,-0.99753446
164,-0.9987829,0.04932261,0.98313005,0.18290792,-0.95740701,0.2887418,0.98749236,0.15766685,-0.96770357,0.25209085,-0.12883844,-0.9916656,0.11364999,-0.99352085,-0.9958095,-0.09145189,0.63382261,-0.77347844,-0.904469,-0.42653936,0.65079137,-0.7592566,-0.06518768,-0.99787302
165,-0.99846035,0.05547002,0.9842369,0.17685507,-0.95594161,0.29355687,0.98893635,0.14834045,-0.96718062,0.25408983,-0.12933918,-0.99160041,0.10962932,-0.99397254,-0.99493719,-0.10049871,0.63382261,-0.77347844,-0.90552107,-0.4243013,0.65079137,-0.7592566,-0.06518768,-0.99787302
166,-0.99846035,0.05547002,0.98554889,0.16939122,-0.95380941,0.30041241,0.98994949,0.14142136,-0.96770357,0.25209085,-0.13267491,-0.99115961,0.10962932,-0.99397254,-0.9958095,-0.09145189,0.63965553,-0.76866169,-0.90644612,-0.42232149,0.65079137,-0.7592566,-0.06019217,-0.99818681
167,-0.99810023,0.06161113,0.98532542,0.17068629,-0.95380941,0.30041241,0.98875277,0.14955924,-0.96770357,0.25209085,-0.13319003,-0.99109052,0.10962932,-0.99397254,-0.9958095,-0.09145189,0.63965553,-0.76866169,-0.90644612,-0.42232149,0.65079137,-0.7592566,-0.06518768,-0.99787302
168,-0.99846035,0.05547002,0.98532542,0.17068629,-0.95163797,0.30722171,0.9885646,0.15079799,-0.96770357,0.25209085,-0.12933918,-0.99160041,0.11002897,-0.99392838,-0.99589321,-0.09053575,0.63646319,-0.77130708,-0.90552107,-0.4243013,0.65079137,-0.7592566,-0.0701783,-0.99753446
169,-0.99846035,0.05547002,0.98509677,0.17200102,-0.95233772,0.30504568,0.9883717,0.15205718,-0.96770357,0.25209085,-0.13319003,-0.99109052,0.11002897,-0.99392838,-0.9958095,-0.09145189,0.63646319,-0.77130708,-0.90644612,-0.42232149,0.65079137,-0.7592566,-0.07053098,-0.99750959
170,-0.99846035,0.05547002,0.98486277,0.17333585,-0.95163797,0.30722171,0.9883717,0.15205718,-0.96770357,0.25209085,-0.13319003,-0.99109052,0.11002897,-0.99392838,-0.9958095,-0.09145189,0.63646319,-0.77130708,-0.904469,-0.42653936,0.65079137,-0.7592566,-0.07088721,-0.99748434
171,-0.99844121,0.05581348,0.98462327,0.17469122,-0.95233772,0.30504568,0.98797105,0.15463895,-0.96770357,0.25209085,-0.13319003,-0.99109052,0.10640357,-0.99432303,-0.9958095,-0.09145189,0.63382261,-0.77347844,-0.904469,-0.42653936,0.65658165,-0.75425495,-0.07088721,-0.99748434
172,-0.99844121,0.05581348,0.98462327,0.17469122,-0.95233772,0.30504568,0.98797105,0.15463895,-0.96770357,0.25209085,-0.13319003,-0.99109052,0.10640357,-0.99432303,-0.9958095,-0.09145189,0.63382261,-0.77347844,-0.904469,-0.42653936,0.65658165,-0.75425495,-0.07088721,-0.99748434
173,-0.99844121,0.05581348,0.98462327,0.17469122,-0.95015746,0.31177042,0.9892496,0.1462369,-0.96623494,0.25766265,-0.13703485,-0.99056623,0.10315052,-0.99466576,-0.99668462,-0.08136201,0.63382261,-0.77347844,-0.90152306,-0.43273107,0.65658165,-0.75425495,-0.07592237,-0.99711373
174,-0.99876776,0.04962821,0.98573643,0.16829646,-0.94794012,0.31844863,0.98943124,0.14500285,-0.96623494,0.25766265,-0.14032982,-0.99010481,0.09950372,-0.99503719,-0.99668462,-0.08136201,0.63382261,-0.77347844,-0.90152306,-0.43273107,0.65658165,-0.75425495,-0.07592237,-0.99711373
175,-0.99844121,0.05581348,0.98596075,0.16697722,-0.94794012,0.31844863,0.9892496,0.1462369,-0.96821432,0.25012203,-0.13650542,-0.99063932,0.09950372,-0.99503719,-0.99750959,-0.07053098,0.63059263,-0.776114,-0.89950816,-0.43690396,0.65658165,-0.75425495,-0.07161055,-0.99743267
176,-0.99846035,0.05547002,0.98596075,0.16697722,-0.94794012,0.31844863,0.98978104,0.14259557,-0.96821432,0.25012203,-0.14414794,-0.98955615,0.09950372,-0.99503719,-0.9974587,-0.07124705,0.63382261,-0.77347844,-0.89950816,-0.43690396,0.65658165,-0.75425495,-0.06686036,-0.99776234
177,-0.99807663,0.06199234,0.98486277,0.17333585,-0.94794012,0.31844863,0.99011384,0.14026613,-0.96821432,0.25012203,-0.14526792,-0.98939235,0.0958529,-0.99539551,-0.99668462,-0.08136201,0.63119657,-0.7756229,-0.89950816,-0.43690396,0.65658165,-0.75425495,-0.06686036,-0.99776234
178,-0.99844121,0.05581348,0.98617987,0.16567822,-0.94794012,0.31844863,0.98994949,0.14142136,-0.96821432,0.25012203,-0.14470579,-0.98947473,0.0958529,-0.99539551,-0.99668462,-0.08136201,0.6343983,-0.77300633,-0.89950816,-0.43690396,0.65347808,-0.75694544,-0.06720523,-0.99773917
179,-0.99844121,0.05581348,0.98596075,0.16697722,-0.94718112,0.32069912,0.98960833,0.14378924,-0.96821432,0.25012203,-0.14032982,-0.99010481,0.09950372,-0.99503719,-0.9974587,-0.07124705,0.63701978,-0.77084746,-0.89950816,-0.43690396,0.65347808,-0.75694544,-0.07272359,-0.99735213
180,-0.99844121,0.05581348,0.98617987,0.16567822,-0.94718112,0.32069912,0.98593856,0.16710823,-0.96821432,0.25012203,-0.14032982,-0.99010481,0.09950372,-0.99503719,-0.9974587,-0.07124705,0.63701978,-0.77084746,-0.89950816,-0.43690396,0.65347808,-0.75694544,-0.06755366,-0.99771564
181,-0.99844121,0.05581348,0.98532542,0.17068629,-0.94718112,0.32069912,0.98639392,0.16439899,-0.96821432,0.25012203,-0.14032982,-0.99010481,0.09950372,-0.99503719,-0.9974587,-0.07124705,0.63701978,-0.77084746,-0.89950816,-0.43690396,0.65347808,-0.75694544,-0.06755366,-0.99771564
